epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.7694705724716187,0.9432768225669861,0.0010000000474974513,0.8711660504341125,0.8101863265037537,0.6963987946510315,0.8557941317558289,0.9765887260437012,0.7801457643508911,0.8905367851257324,0.8046292066574097
1,0.8476887941360474,0.9700940251350403,0.0010000000474974513,0.6314306855201721,0.8708863854408264,0.8121876120567322,0.8211511969566345,0.9713366031646729,0.723621666431427,0.8471057415008545,0.7922186851501465
2,0.8677371740341187,0.9773566126823425,0.0010000000474974513,0.5134588479995728,0.8865939974784851,0.8392502069473267,0.8735343217849731,0.9828330874443054,0.5686581134796143,0.888186514377594,0.8557941317558289
3,0.8772373199462891,0.9818274974822998,0.0010000000474974513,0.45060452818870544,0.8922491669654846,0.8543267846107483,0.8509973883628845,0.9816368818283081,0.5556749701499939,0.8581379055976868,0.8442211151123047
4,0.8947057127952576,0.9848990440368652,0.0010000000474974513,0.4018001854419708,0.9097238779067993,0.8743348717689514,0.7210294008255005,0.9447310566902161,0.8516240119934082,0.7299363017082214,0.6980356574058533
5,0.8918973207473755,0.9858630895614624,0.0010000000474974513,0.39593419432640076,0.9061388373374939,0.8729104995727539,0.8642454743385315,0.9833236336708069,0.5111370086669922,0.874862790107727,0.8495507836341858
6,0.8973931670188904,0.9863918423652649,0.0010000000474974513,0.35736700892448425,0.9090304970741272,0.8824509382247925,0.8911222815513611,0.9912238121032715,0.41935616731643677,0.8977712392807007,0.8832800388336182
7,0.9024052619934082,0.9889610409736633,0.0010000000474974513,0.3419896960258484,0.9130039215087891,0.889559268951416,0.7716613411903381,0.947155773639679,0.8410208225250244,0.7810143828392029,0.7492005228996277
8,0.9062483310699463,0.9893406629562378,0.0010000000474974513,0.33752378821372986,0.9153223037719727,0.8943026065826416,0.8718593120574951,0.9837514758110046,0.4938848614692688,0.8824722766876221,0.8609715104103088
9,0.9169846773147583,0.9913008809089661,0.0010000000474974513,0.30660876631736755,0.9246306419372559,0.9073233008384705,0.931399405002594,0.9944435358047485,0.33676981925964355,0.938166618347168,0.9241662621498108
10,0.9127116203308105,0.9911578893661499,0.0010000000474974513,0.29159364104270935,0.9208225011825562,0.9026337265968323,0.9496725797653198,0.9956864714622498,0.3046679198741913,0.9534044861793518,0.9456372857093811
11,0.9123891592025757,0.9916036128997803,0.0010000000474974513,0.28433674573898315,0.919776976108551,0.9043402075767517,0.8267093300819397,0.9763452410697937,0.5695441365242004,0.8376618027687073,0.812852144241333
12,0.9223998785018921,0.9928898215293884,0.0010000000474974513,0.26505863666534424,0.927677571773529,0.9164337515830994,0.8940155506134033,0.9877865314483643,0.4270815849304199,0.899945855140686,0.8861733078956604
13,0.9172131419181824,0.9917169809341431,0.0010000000474974513,0.2816101014614105,0.9252692461013794,0.9073904752731323,0.9361961483955383,0.9950083494186401,0.3107782006263733,0.9386630058288574,0.9333028793334961
14,0.9459285140037537,0.996249258518219,0.0005000000237487257,0.20674939453601837,0.9490640759468079,0.9428917169570923,0.9266788363456726,0.9932423830032349,0.3145366609096527,0.9288228750228882,0.9240140318870544
15,0.9558586478233337,0.9969742894172668,0.0005000000237487257,0.1754390150308609,0.9577953219413757,0.9538699388504028,0.9491396546363831,0.9951350688934326,0.25697124004364014,0.9502328038215637,0.9478452801704407
16,0.9540311694145203,0.9968380928039551,0.0005000000237487257,0.17057178914546967,0.9558214545249939,0.9521096348762512,0.9471600651741028,0.9955902099609375,0.24852916598320007,0.9482719302177429,0.946322500705719
17,0.9548373818397522,0.996998131275177,0.0005000000237487257,0.1633857935667038,0.9564584493637085,0.9531040191650391,0.9546977281570435,0.995924174785614,0.23125150799751282,0.9568774104118347,0.9528704285621643
18,0.9612469673156738,0.9970517754554749,0.0005000000237487257,0.1476837396621704,0.9624161720275879,0.9600107669830322,0.9031521081924438,0.990829348564148,0.35589978098869324,0.9060104489326477,0.899802029132843
19,0.9608169794082642,0.9974305629730225,0.0005000000237487257,0.1414133906364441,0.9619798064231873,0.9597823023796082,0.9380995631217957,0.9931647777557373,0.27624937891960144,0.9401376247406006,0.9362722635269165
20,0.9592313766479492,0.9969899654388428,0.0005000000237487257,0.1456955075263977,0.9603848457336426,0.9577264189720154,0.955154538154602,0.9964070916175842,0.20952680706977844,0.9561999440193176,0.9540886282920837
21,0.9591642022132874,0.9974169135093689,0.0005000000237487257,0.14779148995876312,0.9607882499694824,0.9577801823616028,0.9593421816825867,0.996333122253418,0.20948871970176697,0.9609953165054321,0.9585807919502258
22,0.965533435344696,0.9977878332138062,0.0005000000237487257,0.1307470202445984,0.9666581153869629,0.9645928740501404,0.9654332399368286,0.997346818447113,0.18409472703933716,0.9665115475654602,0.9646718502044678
23,0.9629938006401062,0.9975094795227051,0.0005000000237487257,0.1303688883781433,0.964090883731842,0.9617978930473328,0.9655855298042297,0.9970180988311768,0.18551264703273773,0.9662167429924011,0.9646718502044678
24,0.964136004447937,0.9975975751876831,0.0005000000237487257,0.12395862489938736,0.9648544192314148,0.9631819128990173,0.9674128293991089,0.9963589310646057,0.18807879090309143,0.9682019352912903,0.9667275547981262
